name,agency_type,parent_name,parent_cn,ministry,prefecture,municipality,note
さいたま地方法務局,field_office,,,法務省,,,法務局
システム開発評価・危機管理センター,field_office,国土交通省,2000012100001,国土交通省,,,国土交通省の地方機関
一般社団法人WheeLog,field_office,厚生労働省,6000012070001,厚生労働省,,,厚生労働省の地方機関
三田市農業委員会,municipal_committee,三田市,8000020282197,農林水産省,兵庫県,三田市,農業委員会
三重労働局,field_office,厚生労働省,6000012070001,厚生労働省,,,労働局
三重県教育委員会,prefectural_branch,三重県,5000020240001,文部科学省,三重県,,教育委員会
三重県警察,prefectural_branch,三重県,5000020240001,警察庁,三重県,,都道府県警察
上越市農業委員会,municipal_committee,上越市,9000020152226,農林水産省,新潟県,上越市,農業委員会
中四国農政局,field_office,,,農林水産省,,,農政局
中国公安調査局,field_office,,,法務省,,,公安調査局
中国四国厚生局,field_office,厚生労働省,6000012070001,厚生労働省,,,厚生局
中国四国厚生局(四国厚生支局分を除く),field_office,厚生労働省,6000012070001,厚生労働省,,,厚生局
中国四国管区警察学校,field_office,警察庁,8000012130001,警察庁,,,警察庁の地方機関
中国四国管区警察局,field_office,警察庁,8000012130001,警察庁,,,管区警察局
中国四国管区警察局四国警察支局,field_office,警察庁,8000012130001,警察庁,,,管区警察局
中国四国農政局,field_office,農林水産省,5000012080001,農林水産省,,,農政局
中国四国防衛局,field_office,防衛省,9000012120001,防衛省,,,防衛局
中国地方整備局,field_office,国土交通省,2000012100001,国土交通省,,,地方整備局
中国経済産業局,field_office,,,経済産業省,,,経済産業局
中国財務局,field_office,財務省,8000012050001,財務省,,,財務省の地方機関
中国運輸局,field_office,国土交通省,2000012100001,国土交通省,,,運輸局
中部公安調査局,field_office,,,法務省,,,公安調査局
中部地方整備局,field_office,国土交通省,2000012100001,国土交通省,,,地方整備局
中部森林管理局,field_office,林野庁,4000012080002,農林水産省,,,森林管理局
中部管区警察学校,field_office,警察庁,8000012130001,警察庁,,,警察庁の地方機関
中部管区警察局,field_office,警察庁,8000012130001,警察庁,,,管区警察局
中部経済産業局,field_office,,,経済産業省,,,経済産業局
中部運輸局,field_office,国土交通省,2000012100001,国土交通省,,,運輸局
九州公安調査局,field_office,,,法務省,,,公安調査局
九州厚生局,field_office,厚生労働省,6000012070001,厚生労働省,,,厚生局
