ministry,category,bureau,bureau_alias,section,expanded_from
内閣府,内部部局,大臣官房,,,
内閣府,内部部局,大臣官房,,政策立案総括審議官,
内閣府,内部部局,大臣官房,,公文書監理官,
内閣府,内部部局,大臣官房,,サイバーセキュリティ・情報化審議官,
内閣府,内部部局,大臣官房,,総務課,
内閣府,内部部局,大臣官房,,人事課,
内閣府,内部部局,大臣官房,,会計課,
内閣府,内部部局,大臣官房,,企画調整課,
内閣府,内部部局,大臣官房,,政策評価広報課,
内閣府,内部部局,大臣官房,,公文書管理課,
内閣府,内部部局,大臣官房,,政府広報室,
内閣府,内部部局,大臣官房,,厚生管理官,
内閣府,内部部局,政策統括官10,,,
内閣府,内部部局,独立公文書管理監,,,
内閣府,内部部局,賞勲局,,,
内閣府,内部部局,賞勲局,,総務課,
内閣府,内部部局,男女共同参画局,,,
内閣府,内部部局,男女共同参画局,,総務課,
内閣府,内部部局,男女共同参画局,,推進課,
内閣府,内部部局,男女共同参画局,,男女間暴力対策課,
内閣府,内部部局,沖縄振興局,,,
内閣府,内部部局,沖縄振興局,,総務課,
内閣府,内部部局,事務局,,,
内閣府,施設等機関,経済社会総合研究所,,,
内閣府,施設等機関,迎賓館,,,
内閣府,特別の機関,地方創生推進事務局,,,
内閣府,特別の機関,知的財産戦略推進事務局,,,
内閣府,特別の機関,科学技術・イノベーション推進事務局,,,
内閣府,特別の機関,健康・医療戦略推進事務局,,,
内閣府,特別の機関,宇宙開発戦略推進事務局,,,
内閣府,特別の機関,北方対策本部,,,
内閣府,特別の機関,総合海洋政策推進事務局,,,
内閣府,特別の機関,孤独・孤立対策推進本部,,,
内閣府,特別の機関,国際平和協力本部,,,
内閣府,特別の機関,事務局,,,
内閣府,特別の機関,第一部、第二部、第三部,,,
内閣府,地方支分部局,沖縄総合事務局,,,
宮内庁,内部部局,長官官房,,,
宮内庁,内部部局,長官官房,,審議官,
宮内庁,内部部局,長官官房,,公文書監理官,
宮内庁,内部部局,長官官房,,秘書課,
宮内庁,内部部局,長官官房,,総務課,
宮内庁,内部部局,長官官房,,宮務課,
宮内庁,内部部局,長官官房,,主計課,
宮内庁,内部部局,長官官房,,用度課,
宮内庁,内部部局,侍従職,,,
宮内庁,内部部局,皇嗣職,,,
宮内庁,内部部局,式部職,,,
宮内庁,内部部局,書陵部,,,
宮内庁,内部部局,書陵部,,図書課,
宮内庁,内部部局,書陵部,,編修課,
宮内庁,内部部局,書陵部,,陵墓課,
宮内庁,内部部局,管理部,,,
宮内庁,内部部局,管理部,,管理課,
宮内庁,内部部局,管理部,,工務課,
宮内庁,内部部局,管理部,,庭園課,
宮内庁,内部部局,管理部,,大膳課,
宮内庁,内部部局,管理部,,車馬課,
宮内庁,内部部局,管理部,,宮殿管理官,
宮内庁,施設等機関,正倉院事務所,,,
宮内庁,地方支分部局,京都事務所,,,
宮内庁,内部部局,事務総局,,,
宮内庁,内部部局,官房,,,
宮内庁,内部部局,官房,,総括審議官,
宮内庁,内部部局,官房,,デジタル・国際総括審議官,
宮内庁,内部部局,官房,,政策立案総括審議官,
宮内庁,内部部局,官房,,公文書監理官,
宮内庁,内部部局,官房,,サイバーセキュリティ・情報化参事官,
宮内庁,内部部局,官房,,総務課,
宮内庁,内部部局,官房,,人事課,
宮内庁,内部部局,官房,,国際課,
宮内庁,内部部局,経済取引局,,,
宮内庁,内部部局,経済取引局,,総務課,
宮内庁,内部部局,経済取引局,,調整課,
宮内庁,内部部局,経済取引局,,企業結合課,
宮内庁,内部部局,取引部,,,
宮内庁,内部部局,取引部,,取引企画課,
宮内庁,内部部局,取引部,,企業取引課,
宮内庁,内部部局,審査局,,,
宮内庁,内部部局,審査局,,管理企画課,
宮内庁,内部部局,審査局,,訟務官,
宮内庁,内部部局,犯則審査部,,,
宮内庁,地方機関,地方事務所５,,,
宮内庁,地方機関,北海道地方事務所,,,地方事務所５
宮内庁,地方機関,東北地方事務所,,,地方事務所５
宮内庁,地方機関,中部地方事務所,,,地方事務所５
宮内庁,地方機関,近畿中国四国地方事務所,,,地方事務所５
宮内庁,地方機関,九州地方事務所,,,地方事務所５
警察庁,内部部局,長官官房,,,
警察庁,内部部局,長官官房,,総括審議官,
警察庁,内部部局,長官官房,,技術総括審議官,
警察庁,内部部局,長官官房,,政策立案総括審議官,
警察庁,内部部局,長官官房,,公文書監理官,
警察庁,内部部局,長官官房,,首席監察官,
警察庁,内部部局,長官官房,,総務課,
警察庁,内部部局,長官官房,,企画課,
警察庁,内部部局,長官官房,,技術企画課,
警察庁,内部部局,長官官房,,人事課,
警察庁,内部部局,長官官房,,会計課,
警察庁,内部部局,長官官房,,犯罪被害者等施策推進課,
警察庁,内部部局,長官官房,,通信基盤課,
警察庁,内部部局,長官官房,,国家公安委員会会務官,
警察庁,内部部局,生活安全局,,,
警察庁,内部部局,生活安全局,,生活安全企画課,
警察庁,内部部局,生活安全局,,人身安全・少年課,
警察庁,内部部局,生活安全局,,保安課,
警察庁,内部部局,生活安全局,,生活経済対策管理官,
警察庁,内部部局,刑事局,,,
警察庁,内部部局,刑事局,,刑事企画課,
警察庁,内部部局,刑事局,,捜査第一課,
警察庁,内部部局,刑事局,,捜査第二課,
警察庁,内部部局,刑事局,,捜査支援分析管理官,
警察庁,内部部局,刑事局,,犯罪鑑識官,
警察庁,内部部局,組織犯罪対策部,,,
警察庁,内部部局,組織犯罪対策部,,組織犯罪対策第一課,
警察庁,内部部局,組織犯罪対策部,,組織犯罪対策第二課,
警察庁,内部部局,組織犯罪対策部,,国際捜査管理官,
警察庁,内部部局,警備局,,,
警察庁,内部部局,警備局,,警備企画課,
警察庁,内部部局,警備局,,公安課,
警察庁,内部部局,外事情報部,,,
警察庁,内部部局,外事情報部,,外事課,
警察庁,内部部局,外事情報部,,国際テロリズム対策課,
警察庁,附属機関,警察大学校,,,
警察庁,附属機関,科学警察研究所,,,
警察庁,附属機関,皇宮警察本部,,,
警察庁,附属機関,皇宮警察学校,,,
警察庁,地方機関,管区警察局６,,,
警察庁,地方機関,東北管区警察局,,,管区警察局６
警察庁,地方機関,関東管区警察局,,,管区警察局６
警察庁,地方機関,中部管区警察局,,,管区警察局６
警察庁,地方機関,近畿管区警察局,,,管区警察局６
警察庁,地方機関,中国四国管区警察局,,,管区警察局６
警察庁,地方機関,九州管区警察局,,,管区警察局６
警察庁,地方機関,東北管区警察学校,,,管区警察学校６
警察庁,地方機関,関東管区警察学校,,,管区警察学校６
警察庁,地方機関,中部管区警察学校,,,管区警察学校６
警察庁,地方機関,近畿管区警察学校,,,管区警察学校６
警察庁,地方機関,中国四国管区警察学校,,,管区警察学校６
警察庁,地方機関,九州管区警察学校,,,管区警察学校６
警察庁,地方機関,管区警察学校６,,,
警察庁,地方機関,警察支局１,,,
警察庁,地方機関,東京都警察情報通信部,,,
警察庁,地方機関,北海道警察情報通信部,,,
警察庁,地方機関,内部部局,,,
警察庁,地方機関,事務局,,,
警察庁,地方機関,事務局,,政策立案参事官,
警察庁,地方機関,事務局,,公文書監理官,
警察庁,地方機関,事務局,,総務課,
警察庁,地方機関,事務局,,監察官,
警察庁,地方機関,総務企画部,,,
警察庁,地方機関,総務企画部,,公文書監理官,
