policy_ministry,ministry,bureau,division,section,office,team,unit,source
こども家庭庁,こども家庭庁,成育局,,保育政策課,,,,data
こども家庭庁,こども家庭庁,成育局,,保育政策課,公定価格担当室,,,data
こども家庭庁,こども家庭庁,成育局,,保育政策課,認可外保育施設担当室,,,data
こども家庭庁,こども家庭庁,成育局,,参事官(事業調整担当),,,,data
こども家庭庁,こども家庭庁,成育局,,安全対策課,,,,data
こども家庭庁,こども家庭庁,成育局,,成育基盤企画課,,,,data
こども家庭庁,こども家庭庁,成育局,,成育環境課,,,,data
こども家庭庁,こども家庭庁,成育局,,成育環境課,児童手当管理室,,,data
こども家庭庁,こども家庭庁,成育局,,母子保健課,,,,data
こども家庭庁,こども家庭庁,成育局,,総務課,,,,data
こども家庭庁,こども家庭庁,支援局,,家庭福祉課,,,,data
こども家庭庁,こども家庭庁,支援局,,家庭福祉課,ひとり親家庭等支援室,,,data
こども家庭庁,こども家庭庁,支援局,,総務課,,,,data
こども家庭庁,こども家庭庁,支援局,,虐待防止対策課,,,,data
こども家庭庁,こども家庭庁,支援局,,虐待防止対策課,,,保護者指導係,data
こども家庭庁,こども家庭庁,支援局,,虐待防止対策課,,,調整係,data
こども家庭庁,こども家庭庁,支援局,,障害児支援課,,,,data
こども家庭庁,こども家庭庁,支援局,,障害児支援課,,,障害児支援係,data
こども家庭庁,こども家庭庁,長官官房,,参事官(会計担当),,,,data
こども家庭庁,こども家庭庁,長官官房,,参事官(総合政策担当),,,,data
こども家庭庁,こども家庭庁,長官官房,,総務課,,,,data
こども家庭庁,こども家庭庁,長官官房,,総務課,,,企画係,data
こども家庭庁,こども家庭庁,長官官房,,総務課,,,広報・報道係,data
こども家庭庁,こども家庭庁,長官官房,,総務課,,,総務係,data
カジノ管理委員会,カジノ管理委員会,事務局,監督調査部,監督総括課,,,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,,トラスト担当トラスト班,,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,,トラスト担当政府認証基盤(GPKI)班,,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,,マイナンバー制度・公的個人認証法担当,,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,,情報連携基盤担当JーLIS班,,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,,情報連携基盤担当NWS班,,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,,預貯金二法担当,,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,(旧)基準・標準担当,,ベースレジストリ班,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,ベース・レジストリ担当,,,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,情報連携基盤刷新担当情報連携基盤刷新班,,,,data
デジタル庁,デジタル庁,デジタル社会共通機能,,情報連携基盤刷新担当窓口DX推進チーム,,,,data
デジタル庁,デジタル庁,国民向けサービス,,,GビズID班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,Jグランツ班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,OSS班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,VisitJapanWeb班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,eーGov班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,カード自治体利用推進班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,スマホ搭載班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,デジタル認証アプリ班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,データ戦略・企業間取引班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,フロントサービスAPI基盤班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,マイナポータル班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,マイナンバーカード・OSS総括,,,data
デジタル庁,デジタル庁,国民向けサービス,,,マイナンバーカード広報班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,事業者手続システム整理,,,data
デジタル庁,デジタル庁,国民向けサービス,,,国家資格デジタル化班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,省庁統一ウェブサイト班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,電子契約システム(工事・業務)班,,,data
デジタル庁,デジタル庁,国民向けサービス,,,電子調達システム/調達ポータル班,,,data
デジタル庁,デジタル庁,国民向けサービス,,デジタル推進委員班,,,,data
デジタル庁,デジタル庁,国民向けサービス,,新地方創生班,,,,data
デジタル庁,デジタル庁,国民向けサービス,,準公共・相互連携担当,,,,data
デジタル庁,デジタル庁,国民向けサービス,,準公共・相互連携担当,,モビリティ班,,data
デジタル庁,デジタル庁,国民向けサービス,,準公共・相互連携担当,,健康・医療班,,data
デジタル庁,デジタル庁,国民向けサービス,,準公共・相互連携担当,,防災班,,data
デジタル庁,デジタル庁,戦略・組織,,AI担当,,,,data
デジタル庁,デジタル庁,戦略・組織,,セキュリティ危機管理担当,,,,data
デジタル庁,デジタル庁,戦略・組織,,セキュリティ危機管理担当,,インシデント対応総括班,,data
デジタル庁,デジタル庁,戦略・組織,,デジタル改革企画2:法制・制度担当,,,,data
デジタル庁,デジタル庁,戦略・組織,,人事担当,インナーコミュニケーション班,,,data
デジタル庁,デジタル庁,戦略・組織,,人事担当,各省向け人材育成班,,,data
デジタル庁,デジタル庁,戦略・組織,,会計担当,,,,data
デジタル庁,デジタル庁,戦略・組織,,広報・コミュニケーション担当,,広報総括班,,data
デジタル庁,デジタル庁,戦略・組織,,戦略企画担当,,,,data
デジタル庁,デジタル庁,戦略・組織,,政府DX担当,,,,data
デジタル庁,デジタル庁,戦略・組織,,調達支援・改革担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,GIMA担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,eーLAWS/共通情報検索システム担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,ガバメントクラウド担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,ガバメントソリューションサービス担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,人事・給与関係業務情報システム担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,国家公務員身分証共通発行管理システム担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,情報システム担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,政府のAI調達・利活用ルール形成担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,政府共通ネットワーク担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,政府共通決済基盤担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,旅費等内部管理業務共通システム担当,,,,data
デジタル庁,デジタル庁,省庁業務サービス,,登記関係システム・業務DX担当,,,,data
