kaku,l1,l2,notes
株式会社,民間企業,株式会社,会社法
（株）,民間企業,株式会社,会社法（略称）
(株),民間企業,株式会社,会社法（略称）
有限会社,民間企業,有限会社,旧商法（廃止後も存続）
（有）,民間企業,有限会社,旧商法（略称）
(有),民間企業,有限会社,旧商法（略称）
合同会社,民間企業,合同会社,会社法
（合）,民間企業,合同会社,会社法（略称）
(合),民間企業,合同会社,会社法（略称）
合資会社,民間企業,合資会社,会社法
合名会社,民間企業,合名会社,会社法
特定目的会社,民間企業,SPC,資産流動化法
相互会社,民間企業,保険会社,保険業法
公益社団法人,公益法人・NPO,公益社団法人,公益社団・財団法人認定法
（公社）,公益法人・NPO,公益社団法人,略称
(公社),公益法人・NPO,公益社団法人,略称
公益財団法人,公益法人・NPO,公益財団法人,公益社団・財団法人認定法
（公財）,公益法人・NPO,公益財団法人,略称
(公財),公益法人・NPO,公益財団法人,略称
一般社団法人,公益法人・NPO,一般社団法人,一般社団・財団法人法
（一社）,公益法人・NPO,一般社団法人,略称
(一社),公益法人・NPO,一般社団法人,略称
一般財団法人,公益法人・NPO,一般財団法人,一般社団・財団法人法
（一財）,公益法人・NPO,一般財団法人,略称
(一財),公益法人・NPO,一般財団法人,略称
特定非営利活動法人,公益法人・NPO,特定非営利活動法人,特定非営利活動促進法
NPO法人,公益法人・NPO,特定非営利活動法人,略称
独立行政法人,独立行政法人等,独立行政法人,独立行政法人通則法
国立研究開発法人,独立行政法人等,国立研究開発法人,独立行政法人通則法（研究開発型）
国立大学法人,大学法人,国立大学法人,国立大学法人法
公立大学法人,大学法人,公立大学法人,地方独立行政法人法
大学共同利用機関法人,大学法人,大学共同利用機関法人,国立大学法人法
学校法人,学校法人,学校法人,私立学校法
社会福祉法人,医療・福祉法人,社会福祉法人,社会福祉法
医療法人,医療・福祉法人,医療法人,医療法
社会医療法人,医療・福祉法人,社会医療法人,医療法（特定型）
更生保護法人,その他法人,更生保護法人,更生保護法
宗教法人,その他法人,宗教法人,宗教法人法
監査法人,専門職法人,監査法人,公認会計士法
弁護士法人,専門職法人,弁護士法人,弁護士法
税理士法人,専門職法人,税理士法人,税理士法
弁理士法人,専門職法人,弁理士法人,弁理士法
司法書士法人,専門職法人,司法書士法人,司法書士法
行政書士法人,専門職法人,行政書士法人,行政書士法
社会保険労務士法人,専門職法人,社会保険労務士法人,社会保険労務士法
土地家屋調査士法人,専門職法人,土地家屋調査士法人,土地家屋調査士法
農業協同組合,協同組合等,農業協同組合,農業協同組合法
農事組合法人,協同組合等,農事組合法人,農業協同組合法
漁業協同組合,協同組合等,漁業協同組合,水産業協同組合法
事業協同組合,協同組合等,事業協同組合,中小企業等協同組合法
共済組合,協同組合等,共済組合,各共済法
健康保険組合,協同組合等,保険組合,健康保険法
土地改良区,協同組合等,土地改良区,土地改良法
